DOB,count
2015-05-18 00:00:00,16
2013-09-28 00:00:00,15
2015-07-21 00:00:00,15
2014-03-18 00:00:00,14
2013-04-22 00:00:00,14
2015-08-12 00:00:00,14
2014-08-09 00:00:00,14
2013-07-16 00:00:00,14
2013-05-06 00:00:00,14
2014-11-11 00:00:00,14
2012-12-12 00:00:00,13
2010-06-10 00:00:00,13
2019-05-11 00:00:00,13
2011-09-06 00:00:00,13
2011-09-09 00:00:00,13
2012-10-24 00:00:00,13
2015-06-06 00:00:00,13
2010-04-09 00:00:00,13
2015-11-23 00:00:00,13
2014-06-24 00:00:00,13
2012-08-29 00:00:00,13
2012-12-01 00:00:00,13
2008-10-09 00:00:00,13
2010-05-27 00:00:00,13
2010-06-05 00:00:00,13
2014-06-06 00:00:00,13
2013-06-13 00:00:00,13
2016-07-16 00:00:00,12
2013-10-23 00:00:00,12
2014-11-20 00:00:00,12
2006-01-15 00:00:00,12
2013-09-20 00:00:00,12
2015-03-07 00:00:00,12
2013-01-25 00:00:00,12
2012-08-30 00:00:00,12
2007-01-07 00:00:00,12
2014-10-20 00:00:00,12
2011-05-26 00:00:00,12
2014-05-01 00:00:00,12
2014-03-01 00:00:00,12
2018-11-22 00:00:00,12
2013-05-05 00:00:00,12
2011-11-10 00:00:00,12
2014-10-09 00:00:00,12
2010-05-10 00:00:00,12
2011-04-04 00:00:00,11
2012-12-08 00:00:00,11
2013-04-26 00:00:00,11
2014-07-17 00:00:00,11
2017-12-24 00:00:00,11
